City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,dahanu,19.9667,72.7333,27.94,84,100,1.1,IN,1724003760
286,florence,43.7667,11.25,25.94,70,0,2.06,IT,1724003733
287,langepas,61.2544,75.2124,13.21,90,92,1.64,RU,1724003762
288,amga,60.8953,131.9608,8.59,73,16,1.49,RU,1724003763
289,flin flon,54.7682,-101.865,22.91,53,75,2.57,CA,1724003765
290,nemuro,43.3236,145.575,16.18,92,51,2.23,JP,1724003766
291,san patricio,28.017,-97.5169,32.97,40,29,5.21,US,1724003767
292,westport,41.1415,-73.3579,24.07,92,100,7.2,US,1724003707
293,saint-pierre,-21.3393,55.4781,20.82,78,75,8.75,RE,1724003721
294,sakaiminato,35.55,133.2333,25.99,100,20,2.06,JP,1724003770
295,kedrovyy,56.1667,91.8167,11.8,97,29,1.85,RU,1724003772
296,hammerfest,70.6634,23.6821,16.25,72,0,3.6,NO,1724003773
297,richards bay,-28.783,32.0377,19.3,80,2,2.03,ZA,1724003774
298,invercargill,-46.4,168.35,5.01,87,99,8.49,NZ,1724003775
299,cangas de onis,43.3284,-5.0718,19.76,97,100,1.49,ES,1724003776
300,ar rutbah,33.0381,40.2848,34.15,12,0,4.29,IQ,1724003777
301,holmsund,63.706,20.3641,16.97,82,40,3.6,SE,1724003779
302,coro,11.4045,-69.6734,34.91,47,0,9.22,VE,1724003780
303,gisborne,-38.6533,178.0042,14.08,74,47,4.56,NZ,1724003781
304,bantogon,6.5333,124.0333,26.02,85,99,2.54,PH,1724003782
305,happy valley-goose bay,53.3168,-60.3315,22.17,68,75,3.09,CA,1724003783
306,funafuti,-8.5243,179.1942,29.0,79,75,5.14,TV,1724003784
307,yemva,62.59,50.8594,13.52,100,100,1.49,RU,1724003786
308,haimen,23.1935,116.6142,26.75,91,91,5.02,CN,1724003787
309,launceston,-41.45,147.1667,3.8,93,75,0.0,AU,1724003788
310,mugia,43.1041,-9.2179,20.51,81,53,8.93,ES,1724003789
311,el calafate,-50.3408,-72.2768,3.64,66,22,3.0,AR,1724003761
312,newport,51.5877,-2.9984,19.14,75,43,5.0,GB,1724003767
313,muscat,23.6139,58.5922,29.04,79,100,7.48,OM,1724003794
314,pisco,-13.7,-76.2167,16.12,88,100,2.06,PE,1724003795
315,keflavik,64.0049,-22.5624,10.24,62,75,6.69,IS,1724003796
316,daud khel,32.875,71.5701,31.61,63,10,4.16,PK,1724003797
317,taperoa,-7.2075,-36.8267,31.03,28,37,5.58,BR,1724003799
318,fauske,67.2588,15.3918,12.75,87,100,2.19,NO,1724003801
319,kuzhithurai,8.3167,77.1833,26.36,94,67,3.25,IN,1724003802
320,shihezi,44.3,86.0333,24.49,51,99,4.22,CN,1724003803
321,plouzane,48.3833,-4.6167,19.03,72,0,3.09,FR,1724003804
322,phillip island,-38.4835,145.231,8.98,79,0,2.77,AU,1724003805
323,casper,42.8666,-106.3131,30.4,27,0,9.26,US,1724003807
324,tayshet,55.9342,98.0044,13.36,98,100,0.63,RU,1724003808
325,airuk,7.2772,168.8203,28.29,76,94,4.07,MH,1724003809
326,tadine,-21.55,167.8833,20.48,89,0,1.52,NC,1724003810
327,egilsstadir,65.2653,-14.3948,7.95,66,75,9.26,IS,1724003811
328,margate,51.3813,1.3862,22.71,50,5,3.37,GB,1724003796
329,shchyolkino,45.4291,35.8223,24.82,59,2,4.47,UA,1724003815
330,acajutla,13.5928,-89.8275,29.98,68,100,4.2,SV,1724003816
331,rosa zarate,0.3333,-79.4667,28.35,66,97,1.88,EC,1724003817
332,sandnessjoen,66.0217,12.6316,13.06,82,75,6.69,NO,1724003818
333,temara,33.9287,-6.9066,31.69,74,6,3.09,MA,1724003819
334,sitka,57.0531,-135.33,15.94,77,0,0.0,US,1724003821
335,kodiak,57.79,-152.4072,17.73,82,20,6.69,US,1724003604
336,kristinestad,62.2743,21.376,15.3,82,78,6.07,FI,1724003823
337,jalai nur,49.45,117.7,16.4,95,100,4.48,CN,1724003824
338,namibe,-15.1961,12.1522,17.01,83,4,0.76,AO,1724003825
339,lycksele,64.5954,18.6735,14.93,77,90,5.14,SE,1724003826
340,mainit,9.535,125.5231,25.77,85,92,0.49,PH,1724003828
341,leava,-14.3,-178.1667,26.69,83,15,9.45,WF,1724003829
342,thunder bay,48.4001,-89.3168,21.99,53,75,2.57,CA,1724003712
343,al minya,28.1099,30.7503,34.93,16,0,3.2,EG,1724003831
344,souda,35.4844,24.0744,42.45,61,0,2.06,GR,1724003832
345,banjarmasin,-3.3244,114.591,25.08,92,3,1.0,ID,1724003378
346,konarka,19.9,86.1167,28.85,82,100,5.13,IN,1724003835
347,sogndal,61.2283,7.1003,12.21,87,40,2.06,NO,1724003836
348,opuwo,-18.0607,13.84,23.88,13,14,3.86,NA,1724003837
349,kapshagay,43.8833,77.0833,17.58,73,100,5.73,KZ,1724003838
350,lincoln,40.8,-96.667,20.95,88,75,4.63,US,1724003570
351,luganville,-15.5333,167.1667,23.95,92,17,0.67,VU,1724003841
352,gustavia,17.8962,-62.8498,30.79,80,3,3.13,BL,1724003821
353,belmonte,-15.8631,-38.8828,25.26,69,68,3.0,BR,1724003843
354,morden,49.1919,-98.1014,24.24,57,0,1.54,CA,1724003705
355,ondo,7.1,4.8333,23.87,90,97,1.33,NG,1724003845
356,puerto leguizamo,-0.1934,-74.7819,34.47,42,3,0.45,CO,1724003846
357,mazamari,-11.3258,-74.5308,35.03,27,0,0.9,PE,1724003848
358,tommot,58.9564,126.2925,8.94,81,5,1.51,RU,1724003849
359,puerto cabezas,14.0351,-83.3888,30.98,79,40,5.14,NI,1724003850
360,port blair,11.6667,92.75,26.02,94,40,1.03,IN,1724003851
361,swakopmund,-22.6833,14.5333,13.32,85,28,0.89,NA,1724003852
362,islamkot,24.6997,70.177,29.22,72,100,5.76,PK,1724003853
363,chichimila,20.6167,-88.2167,31.03,35,5,1.1,MX,1724003855
364,thief river falls,48.1191,-96.1812,23.96,64,40,1.54,US,1724003856
365,zaozersk,69.4005,32.4476,11.73,81,37,1.83,RU,1724003857
366,seeb,23.6703,58.1891,29.33,81,100,6.26,OM,1724003858
